Year,Total_Accidents,Fatal_Accidents,Non_Fatal_Accidents,Killed,Injured,Total_Vehicles_Involved,Year_Clean,Province,Fatality_Rate,Severity_Label
2012-2013,8988.0,3884.0,5104.0,4719.0,9710.0,9876.0,2012,Pakistan (National),0.525,Medium
2013-2014,8359.0,3500.0,4859.0,4348.0,9777.0,9423.0,2013,Pakistan (National),0.52,Medium
2014-2015,7865.0,3214.0,4651.0,3954.0,9661.0,8949.0,2014,Pakistan (National),0.503,Medium
2015-2016,9100.0,3591.0,5509.0,4448.0,11544.0,10636.0,2015,Pakistan (National),0.489,Medium
2016-2017,9582.0,4036.0,5546.0,5047.0,12696.0,11317.0,2016,Pakistan (National),0.527,Medium
2017-2018,11121.0,4829.0,6292.0,5948.0,14489.0,13134.0,2017,Pakistan (National),0.535,Medium
2018-2019,10779.0,4878.0,5901.0,5932.0,13219.0,12908.0,2018,Pakistan (National),0.55,Medium
2019-2020,9701.0,4403.0,5298.0,5436.0,12317.0,12894.0,2019,Pakistan (National),0.56,Medium
2020-2021,10429.0,4721.0,5708.0,5816.0,12886.0,15351.0,2020,Pakistan (National),0.558,Medium
2021-Jan,769.0,370.0,399.0,458.0,903.0,1090.0,2021,Pakistan (National),0.596,Medium
2021-Feb,823.0,381.0,442.0,486.0,1080.0,1194.0,2021,Pakistan (National),0.591,Medium
2021-Mar,819.0,400.0,419.0,482.0,1104.0,1293.0,2021,Pakistan (National),0.589,Medium
2021-Apr,781.0,383.0,398.0,461.0,837.0,1151.0,2021,Pakistan (National),0.59,Medium
2021-May,917.0,389.0,528.0,521.0,1264.0,1344.0,2021,Pakistan (National),0.568,Medium
2021-Jun,913.0,366.0,547.0,424.0,1130.0,1372.0,2021,Pakistan (National),0.464,Medium
2021-Jul,1018.0,404.0,614.0,534.0,1391.0,1499.0,2021,Pakistan (National),0.525,Medium
2021-Aug,847.0,368.0,479.0,455.0,1043.0,1266.0,2021,Pakistan (National),0.537,Medium
2021-Sep,864.0,348.0,516.0,401.0,985.0,1282.0,2021,Pakistan (National),0.464,Medium
2021-Oct,921.0,403.0,518.0,490.0,1179.0,1551.0,2021,Pakistan (National),0.532,Medium
2021-Nov,880.0,376.0,504.0,451.0,1102.0,1314.0,2021,Pakistan (National),0.512,Medium
2021-Dec,827.0,378.0,449.0,445.0,1041.0,1245.0,2021,Pakistan (National),0.538,Medium
2012-2013,201.0,107.0,94.0,109.0,180.0,212.0,2012,Islamabad,0.542,Medium
2013-2014,256.0,120.0,136.0,132.0,206.0,256.0,2013,Islamabad,0.516,Medium
2014-2015,216.0,107.0,109.0,118.0,182.0,217.0,2014,Islamabad,0.546,Medium
2015-2016,244.0,120.0,124.0,140.0,209.0,244.0,2015,Islamabad,0.574,Medium
2016-2017,226.0,127.0,99.0,129.0,124.0,216.0,2016,Islamabad,0.571,Medium
2017-2018,259.0,157.0,102.0,167.0,162.0,259.0,2017,Islamabad,0.645,High
2018-2019,238.0,127.0,111.0,136.0,134.0,239.0,2018,Islamabad,0.571,Medium
2019-2020,189.0,111.0,78.0,118.0,121.0,189.0,2019,Islamabad,0.624,High
2020-2021,201.0,128.0,73.0,141.0,123.0,211.0,2020,Islamabad,0.701,High
2021-Jan,13.0,10.0,3.0,8.0,5.0,13.0,2021,Islamabad,0.615,High
2021-Feb,20.0,11.0,9.0,15.0,14.0,20.0,2021,Islamabad,0.75,High
2021-Mar,15.0,9.0,6.0,9.0,6.0,25.0,2021,Islamabad,0.6,Medium
2021-Apr,12.0,9.0,3.0,11.0,4.0,12.0,2021,Islamabad,0.917,High
2021-May,14.0,6.0,8.0,6.0,6.0,14.0,2021,Islamabad,0.429,Medium
2021-Jun,22.0,15.0,7.0,15.0,8.0,22.0,2021,Islamabad,0.682,High
2021-Jul,14.0,13.0,1.0,13.0,4.0,14.0,2021,Islamabad,0.929,High
2021-Aug,17.0,11.0,6.0,14.0,11.0,17.0,2021,Islamabad,0.824,High
2021-Sep,14.0,5.0,9.0,6.0,10.0,14.0,2021,Islamabad,0.429,Medium
2021-Oct,11.0,7.0,4.0,7.0,14.0,11.0,2021,Islamabad,0.636,High
2021-Nov,15.0,6.0,9.0,7.0,5.0,15.0,2021,Islamabad,0.467,Medium
2021-Dec,29.0,11.0,18.0,11.0,10.0,29.0,2021,Islamabad,0.379,Low
2012-2013,4587.0,2213.0,2374.0,2692.0,4515.0,4587.0,2012,Punjab,0.587,Medium
2013-2014,3696.0,1717.0,1979.0,2145.0,3941.0,3696.0,2013,Punjab,0.58,Medium
2014-2015,3054.0,1435.0,1619.0,1750.0,3652.0,3054.0,2014,Punjab,0.573,Medium
2015-2016,3288.0,1576.0,1712.0,2053.0,4550.0,3288.0,2015,Punjab,0.624,High
