District,Total_Calls,Emergency_Calls,Road_Accidents,Medical,Fire,Structure_Collapse,Crime_Incidents,Drowning,Misc,Fake_Calls,Patients_Rescued,Province,Source,Coverage,Data_Type,Road_Accident_Pct,Is_RYK
Lahore,32357232,2721764,1117490,1264275,66416,2097,64143,1718,205625,1780,2645307,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),41.06,False
Faisalabad,17345406,1435067,428228,811036,25842,2387,50600,1417,115557,215,1459629,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),29.84,False
Multan,12130450,1110129,327871,642994,15084,860,29215,644,93461,174,1197830,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),29.53,False
Gujranawala,11942258,909513,289230,489938,15697,701,26922,1101,85924,347,910796,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),31.8,False
Rawalpindi,14595715,562277,177337,298554,18065,326,15992,454,51549,158,567709,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),31.54,False
Bahawalpur,8661188,780401,159338,518152,7398,75,15336,660,79442,267,821276,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),20.42,False
Sahiwal,8063573,651233,143826,421858,5867,275,20175,724,58508,76,685023,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),22.09,False
Sheikhupura,4597690,454737,142556,242204,7604,498,14684,869,46322,15,494583,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),31.35,False
Sialkot,7968204,315647,133161,124270,10902,299,9015,1072,36928,192,328022,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),42.19,False
Sargodha,7641813,512292,125292,320471,7249,307,11707,400,46866,11,491793,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),24.46,False
Rahim Yar Khan,10877717,509600,122487,326210,7396,236,9526,688,43057,55,574409,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),24.04,True
Kasur,4874039,323913,114511,163785,5325,488,9133,430,30241,117,611857,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),35.35,False
D.G. Khan,7501199,746721,113209,515652,6361,724,18369,839,91567,50,863308,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),15.16,False
Okara,4787258,372808,102343,218282,4525,180,12952,398,34128,13,451354,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),27.45,False
Khanewal,5769990,378432,95805,213742,3971,249,14942,476,49247,26,410477,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),25.32,False
Jhang,4212827,508883,94599,354902,4258,424,12106,282,42312,48,619542,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),18.59,False
Gujrat,3218607,220385,88391,92555,4744,190,5065,586,28854,35,255500,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),40.11,False
Vehari,3711471,303980,79286,185886,4158,139,8597,404,25510,10,353694,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),26.08,False
Muzaffargarh,5892873,415861,78806,278831,2999,312,8549,452,45912,28,523412,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),18.95,False
Bahawalnagar,5106662,333499,68989,215088,4585,195,9099,398,35145,103,373861,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),20.69,False
Nankana Sahib,3279796,259653,68324,149193,4337,490,7701,413,29195,50,292950,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),26.31,False
Chiniot,2911651,210789,68316,107245,3307,458,8710,319,22434,6,240730,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),32.41,False
Lodhran,3394401,367129,65718,253602,2968,86,8553,325,35877,43,398043,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),17.9,False
Pakpattan,2455529,251762,63478,144331,2504,83,8160,345,32861,5,369367,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),25.21,False
Toba Tek Singh,2721144,293285,62514,189028,2535,123,8082,175,30828,14,321089,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),21.32,False
M.B. Din,3000793,214599,61215,117735,3265,170,6437,532,25245,1,253769,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),28.53,False
Hafizabad,2251332,180352,54847,95014,4203,198,5387,392,20311,8,229872,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),30.41,False
Layyah,2523819,227921,49040,144615,2136,71,5609,208,26242,21,325037,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),21.52,False
Rajanpur,3054558,250721,45710,144129,2726,174,6815,283,50884,26,471790,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),18.23,False
Narowal,3008237,193261,43633,115569,3703,145,4679,173,25359,8,215904,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),22.58,False
Mianwali,2629934,216951,41752,142269,3306,76,7338,750,21460,5,227966,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),19.24,False
Khushab,1949614,218270,39503,145414,2066,72,5377,170,25668,15,239199,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),18.1,False
Bhakkar,3242214,267196,37299,188415,2345,267,5022,337,33511,73,293578,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),13.96,False
Jehlum,3266504,151329,35452,91989,2891,80,2529,302,18086,38,179364,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),23.43,False
Attock,3311730,264695,35146,188121,4449,110,3754,430,32685,69,273772,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),13.28,False
Chakwal,3630472,138534,34652,78524,2532,64,2906,198,19658,20,147233,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),25.01,False
Murree,2446300,157260,14966,112660,1863,33,1248,107,26383,50,168653,Punjab,Rescue 1122 - Emergency Services Dept Punjab,District (Punjab),Cumulative (Since Rescue 1122 Launch),9.52,False
